brand,model,version,price,kilometraje,cylinder,city,region,year,fuel_type,transmission,doors,plate,description,only_owner,never_bumped,checked_maintenance,state
FORD,RANGER,"XL 3,2 LTS. DOHC PICK UP DOBLE CABINA 4P. 4X2 T/M MOTOR DIÉSEL",9990000,228000,3.2,Temuco,9,2015,diesel,mecanico,4,HBCG35,"Versión XLT 3.2 MT 4x2

- Muy buen estado
- Neumaticos nuevos
- Pisaderas y barra original.
Detalles:
- A/C descargado.
- Alzavidrios trasero malo.

Visitas en Av. Alemania #1615",,True,,1
NISSAN,NAVARA,"D40 2,5 DOHC PICK UP DOBLE CABINA 4P. 4X4 T/A MOTOR DIÉSEL",8190000,107769,2.5,Ñuñoa,13,2011,diesel,automatico,4,CZKY30,"EN MUY BUENAS CONDICIONES, MOTOR 2.5 DIESEL, TRACCION 4X4, CAJA AUTOMATICA, FULL EQUIPO, PAPELES AL DIA, TRANSFERENCIA INMEDIATA. 
OPCION DE PAGO CON TARJETA DE CREDITO. 
ÑUÑOA. ",,,,1
M. BENZ,E,,5990000,305000,,Temuco,9,1999,,,,ATAA90,,,,,1
SUZUKI,GRAND VITARA,,7990000,116000,,Rancagua,6,2014,,,,XXXD14,,,,,1
AUDI,Q7,,15970000,161000,,Vitacura,13,2014,,,,GPBF52,,,,,1
MITSUBISHI,OUTLANDER,,9990000,333333,,Rancagua,6,2016,,,,XXXD12,,,,,1
NISSAN,X-TRAIL,,5990000,155000,,Las Condes,13,2011,,,,CYZZ70,,,,,1
HYUNDAI,HD35,,19480000,116000,,Macul,13,2020,,,,XXXD10,,,,,1
SKODA,KODIAQ,,22970000,46000,,Vitacura,13,2018,,,,KLJV65,,,,,1
FAW,V80,,4980000,47000,,Macul,13,2022,,,,XXXD07,,,,,1
DODGE,CHALLENGER,,15990000,130000,,Temuco,9,2014,,,,RFSR87,,,,,1
HONDA,CITY,,8980000,333333,,Macul,13,2016,,,,XXXD03,,,,,1
BMW,420,,24970000,108000,,Vitacura,13,2019,,,,KZDB48,,,,,1
CHEVROLET,TRACKER,,9970000,36000,,Vitacura,13,2020,,,,PFZK19,,,,,1
M. BENZ,E200,,47990000,35900,,Talca,7,2022,,,,XXXW23,,,,,1
FORD,ECOSPORT,,9990000,111111,,Rancagua,6,2019,,,,XXXB02,,,,,1
SSANGYONG,ACTYON SPORT,,7970000,166000,,Vitacura,13,2014,,,,GCHX75,,,,,1
AUDI,A4,,8490000,197000,,Rancagua,6,2012,,,,DWBH38,,,,,1
BMW,X6,,21990000,127000,,Las Condes,13,2014,,,,GHHL84,,,,,1
VOLVO,XC90,,63990000,24900,,Talca,7,2022,,,,XXXW56,,,,,1
FORD,F-150,,34970000,77000,,Vitacura,13,2021,,,,PKFX98,,,,,1
VOLKSWAGEN,NIVUS,,14990000,40900,,Talca,7,2021,,,,XXXW54,,,,,1
SUZUKI,ALTO,,4850000,22000,,Macul,13,2018,,,,RAAR08,"motor 1.0
mecánico
22.xxx kms
Aire Acondicionado
Alza vidrio
2 llaves
Mantenciones en la marca
Full",,,,1
RAM,1500,,38990000,79900,,Talca,7,2020,,,,XXXW52,,,,,1
CHEVROLET,ORLANDO,,8300000,203000,,Vitacura,13,2014,,,,FZZI96,"La Chevrolet Orlando 2.0 LS LD 6MT incluye aire acondicionado, sistema de audio con CD, MP3, USB y Bluetooth, vidrios eléctricos, espejos eléctricos, volante multifunción, control de crucero, computadora de a bordo, frenos ABS con EBD, airbags frontales y laterales, control de estabilidad, sistema de asistencia de frenado, cierre centralizado, asientos traseros abatibles, faros antiniebla y llantas de aleación., 3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito.",,,,1
PORSCHE,CAYMAN,,54990000,64900,,Talca,7,2018,,,,XXXW50,,,,,1
SUBARU,XV,,11990000,94000,,Temuco,9,2016,,,,HLWZ87,"📌94.000 KMS

📌Mecánico 6Velocidades

📌Motor 1.6

📌Radio manos libre

📌Espejos eléctricos

📌Control de estabilidad

📌Velocidad crucero

📌Volante regulable en Altura y profundidad

📌Aire acondicionado

📌Alzavidrios eléctricos

📌ABS + Repartidor electrónico de frenado (REF)

📌Cierre centralizado con mando a distancia

📌Computador a bordo",,,,1
PEUGEOT,208,,11000000,26400,,Talca,7,2021,,,,XXXW48,,,,,1
VOLVO,XC60,,24990000,140000,,Los Ángeles,8,2018,,,,JVBT17,,,,,1
MITSUBISHI,OUTLANDER,,12990000,71500,,Talca,7,2020,,,,XXXW46,,,,,1
BMW,M240I,,37900000,32100,,Lo Barnechea,13,2021,,,,PHXP68,,,,,1
TOYOTA,RAV4,,28200000,5268,,Vitacura,13,2023,,,,SWKZ76,"La Toyota RAV4 2.0 4x4 Mec. ofrece un equipamiento versátil y robusto. Incorpora tracción 4x4 para afrontar diferentes terrenos, transmisión manual para una experiencia de conducción más conectada, sistema de infoentretenimiento con pantalla táctil, aire acondicionado, asientos abatibles para mayor capacidad de carga, control de estabilidad, múltiples airbags, sistema de asistencia de frenado, cámara de visión trasera, llantas de aleación, y diseño aerodinámico que combina estilo y funcionalidad.3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito.",,,,1
BMW,M240I,,44990000,7000,3.0,Los Ángeles,8,2022,gasolina,automatico,2,XXXC35,,,,,1
NISSAN,VERSA,,12990000,19100,,Cerrillos,13,2023,,,,SLGZ74,,,,,1
FORD,Ranger Raptor,4x4,38990000,36000,2.0,Temuco,9,2021,diesel,automatico,4,RFVJ47,"Ranger Raptor 2.0 Diesel.
* Exenta de IVA.

Adicionales: 
- Neumaticos ALL Terrain
- Tapa pick up Retráctil 
- Barra sobre riel.

Av. Alemania #1615, Temuco",True,True,True,1
FORD,F-150,,43900000,70000,,Lo Barnechea,13,2017,,,,JTGD73,,,,,1
PORSCHE,MACAN,,61900000,15600,,Lo Barnechea,13,2023,,,,SVHZ17,,,,,1
VOLKSWAGEN,AMAROK,,12990000,265000,,Los Ángeles,8,2014,,,,GHVK70,,,,,1
TOYOTA,HILUX,,15450000,76000,,Macul,13,2018,,,,RAAR00,"4 X 4
mecánica
Radio con pantalla
Llantas
Neumáticos nuevos
Pisaderas
Antivuelco
Cámara retroceso
Diesel
Solo 76.xxx KMS
Full Equipo",,,,1
AUDI,A3,,9990000,96413,,Vitacura,13,2014,,,,GHVC65,"El Audi A3 1.4 Sportback TFSI Aut. ofrece un equipamiento de lujo y funcionalidad. Destaca por su motor TFSI de 1.4 litros, caja de cambios automática, sistema de navegación, asientos deportivos de cuero, climatizador automático, volante multifunción, pantalla MMI, conectividad Bluetooth, sensores de estacionamiento, control de crucero, llantas de aleación, faros LED, sistema de audio de alta calidad, asistente de arranque en pendiente, y múltiples airbags para la seguridad.3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito. ",,,,1
FORD,RANGER,"XL 3,2 LTS. DOHC PICK UP DOBLE CABINA 4P. 4X2 T/M MOTOR DIÉSEL",9990000,228000,3.2,Temuco,9,2015,diesel,mecanico,4,HBCG35,"Versión XLT 3.2 MT 4x2

- Muy buen estado
- Neumaticos nuevos
- Pisaderas y barra original.
Detalles:
- A/C descargado.
- Alzavidrios trasero malo.

Visitas en Av. Alemania #1615",,True,,1
MAZDA,MAZDA6,,8990000,46900,,Talca,7,2012,,,,XXXW22,,,,,1
DODGE,DURANGO,,16990000,253000,,Temuco,9,2015,,,,DJBD67,,,,,1
MAXUS,T60,,15990000,74900,,Talca,7,2022,,,,XXXW27,,,,,1
RAM,1000,,16990000,45100,,Cerrillos,13,2022,,,,RWHW95,,,,,1
FORD,F150,,36990000,82900,,Talca,7,2021,,,,XXXW38,,,,,1
FORD,EXPLORER,,13100000,154000,,Pedro Aguirre Cerda,13,2014,,,,XXXO14,,,,,1
FORD,EXPEDITION,,32990000,14900,,Talca,7,2022,,,,XXXW34,,,,,1
RENAULT,CLIO,,8990000,82000,,Los Ángeles,8,2016,,,,HTFR37,,,,,1
DODGE,RAM 1500,,27990000,88900,,Talca,7,2018,,,,XXXW30,,,,,1
CITROEN,C3,,9490000,86900,,Cerrillos,13,2018,,,,KRWB42,,,,,1
CHEVROLET,SUBURBAN,,23990000,93500,,Talca,7,2016,,,,HOLA76,,,,,1
PEUGEOT,2008,,13990000,49000,,Los Ángeles,8,2021,,,,PSGH17,,,,,1
CHANGAN,UNI-T,,17990000,18500,,Talca,7,2022,,,,RXLL40,,,,,1
SSANGYONG,GRAND MUSSO,,14490000,85000,1.6,Rancagua,6,2022,diesel,mecanico,4,XXXC03,"FULL EQUIPO A/C, MECANICO, 1.6 TURBO DIESEL ECONOMICO, UNICO DUEÑO, APPLE CARPLAY, SENSORES DE ESTACIONAMIENTO.",,,,1
BMW,X2,,27290000,75900,,Talca,7,2020,,,,PGXC86,,,,,1
NISSAN,PATHFINDER,,11990000,133000,,Los Ángeles,8,2015,,,,GXPJ89,,,,,1
JEEP,GRAND CHEROKEE,L LAREDO 3.6L 4X4,14990000,146000,3.6,Vitacura,13,2016,gasolina,automatico,5,HKCS79,"Impresionante Jeep Grand Cherokee Laredo 4x4   2016,  transmisión automática electrónica 8 velocidades , climatizador bizona para 2 corridas de asientos, asientos delanteros eléctricos calefaccionados, todos abatibles, cierre centralizado control remoto, vidrios eléctricos, espejos eléctricos, airbags delanteros y cortinas,  volante de cuero multifunción con control de audio, sensores de estacionamiento, radio cd, tablero con menú de características, puertos USB, velocidad de crucero con velocidad fija y limitador, alarma, control de pendiente, control de estabilidad, asientos y manubrio de cuero, seguros de niños en puertas, llantas de aluminio, neumáticos en perfecto estado, frenos de disco con sistema ABS en las cuatro ruedas, freno de mano eléctrico, dos llaves originales, sistema antirrobo,  permiso de circulación, revisión técnica y de gases y SOAP al día, sin multas, tarjetas de crédito, tramito financiamiento, recibo en mi casa, previo aviso a mi celular 974976390.",True,,,1
RENAULT,OROCH,"2,0 LTS. PICK UP 4P. T/M OTTO",10990000,79000,2.0,Valparaíso,5,2020,gasolina,mecanico,5,PPSF12,"PIE MÍNIMO $2.200.000
PIE RECOMENDADO $4.400.000

UBICACIÓN TERCERA DEL SUR 630 PLACILLA – VALPARAÍSO

MANTENCIÓN KIT DISTRIBUCCIÓN REALIZADA POR KM

ÚNICO DUEÑA! Mantenciones y documentación al día; Versión 2.0 Intens; Caja 6 velocidades, 2 Airbags, aire acondicionado, Frenos ABS, Aux/Usb, bluetooth, velocidad crucero,  limitador de velocidad, navegador, ISOFIX, pantalla touch, sensores de retroceso, computador a bordo, neblineros, comandos al volante, barras techo, alzavidrios y espejos eléctricos, cierre centralizado, llantas, etc.

FINANCIAMIENTO AUTOMOTRIZ DESDE EL 20%

RECIBIMOS TU AUTO EN PARTE DE PAGO

PAGA CON TARJETA DE CRÉDITO/DÉBITO

GESTIONAMOS TU SEGURO AUTOMOTRIZ Y DISPOSITIVO TAG",True,True,,1
MAXUS,T60,,15990000,74900,,Talca,7,2022,,,,SBBG87,,,,,1
NISSAN,MARCH,,5990000,146000,,Los Ángeles,8,2017,,,,JPBH30,,,,,1
MAZDA,MAZDA6,,8990000,46900,,Talca,7,2012,,,,DPSP10,,,,,1
JAC,JS3,,8980000,25000,,Santiago,13,2022,,,,RPTV18,"JAC JS3
Año 2022
$8.980.000
Doble Airbag 
Frenos ABS
Único dueño 
Doble Airbag 
Frenos ABS 
Caja mecánica 6 velocidades
Motor 1.5 cc
25.000 Km
Aire acondicionado 
Dirección hidráulica 
Alzavidrios eléctricos 
Cierre central 
Llantas 
Neblineros
Sensores retroceso",,,,1
MITSUBISHI,L-200,,17490000,147900,,Talca,7,2019,,,,LFKS35,,,,,1
MITSUBISHI,LANCER,,9990000,73000,,Los Ángeles,8,2017,,,,JHJP34,,,,,1
CHEVROLET,SUBURBAN,,62990000,17900,,Talca,7,2023,,,,SRYC12,,,,,1
SEAT,ATECA,,14990000,37500,,Cerrillos,13,2021,,,,PYSW30,,,,,1
PEUGEOT,LANDTREK,,19990000,9000,,Los Andes,5,2023,,,,SVBR95,,,,,1
MG,ZS,,8990000,37500,,Los Ángeles,8,2023,,,,SJFK54,,,,,1
FIAT,SIENA,,2500000,273230,,Pedro Aguirre Cerda,13,2004,,,,YV2306,,,,,1
VOLKSWAGEN,TIGUAN,,17490000,59500,,Las Condes,13,2018,,,,KLCF17,,,,,1
TOYOTA,RAV4,,28200000,5268,,Vitacura,13,2023,,,,SWKZ76,"La Toyota RAV4 2.0 4x4 Mec. ofrece un equipamiento versátil y robusto. Incorpora tracción 4x4 para afrontar diferentes terrenos, transmisión manual para una experiencia de conducción más conectada, sistema de infoentretenimiento con pantalla táctil, aire acondicionado, asientos abatibles para mayor capacidad de carga, control de estabilidad, múltiples airbags, sistema de asistencia de frenado, cámara de visión trasera, llantas de aleación, y diseño aerodinámico que combina estilo y funcionalidad.3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito.",,,,1
BMW,M240I,,44990000,7000,3.0,Los Ángeles,8,2022,gasolina,automatico,2,XXXC35,,,,,1
NISSAN,VERSA,,12990000,19100,,Cerrillos,13,2023,,,,SLGZ74,,,,,1
FORD,Ranger Raptor,4x4,38990000,36000,2.0,Temuco,9,2021,diesel,automatico,4,RFVJ47,"Ranger Raptor 2.0 Diesel.
* Exenta de IVA.

Adicionales: 
- Neumaticos ALL Terrain
- Tapa pick up Retráctil 
- Barra sobre riel.

Av. Alemania #1615, Temuco",True,True,True,1
HYUNDAI,SANTA FE,,6680000,287000,,Santiago,13,2012,,,,DLBJ33,"Hyundai Santa Fe
Año 2012
$6.680.000
Doble Airbag 
Frenos ABS 
Automático 
3 corridas asientos 
Aire acondicionado 
Dirección hidráulica 
Alzavidrios eléctricos 
Cierre central 
Llantas
Neblineros",,,,1
PEUGEOT,PARTNER,,6280000,137000,,Santiago,13,2016,,,,HWGG91,"Peugeot Partner
Año 2016
$6.280.000
Doble Airbag 
Frenos ABS
Motor 1.6 turbo diésel 
137.000 Km
Aire acondicionado 
Dirección hidráulica 
Alzavidrios eléctricos 
Cierre central 
Alarma",,,,1
NISSAN,NAVARA,"(D40) 2,5 LTS. DOHC PICK UP DOBLE CABINA 4P. T/M 4X4 MOTOR DIÉSEL",18590000,96000,2.5,Pichilemu,6,2021,diesel,mecanico,4,PKSX37,"✅Marca: Nissan 
✅Modelo: Navara LE 
✅Motor: 2.3 DC
✅Transmisión: 4x4 
✅Caja de Cambios de 6 Velocidades

✅AÑO: 2021
✅Único dueño 
✅Smart Key (2 Originales) 
✅Combustible: Diesel 
✅Trasmisión: Mecánica 
✅Kilometraje: 96.000

Equipamiento: 
Tapiz Cuero  
Calienta Asientos delanteros 
Asiento conductor eléctrico 
Botón Encendido 
Radio Original Multimedia Car pley Android auto
Control al Volante
Velocidad Crucero 
Cámara de Retroceso 
Sensor de lluvia 
Asistencia de frenado en Pendiente
Climatizador dual zona  
Cierre Centralizado 
Alarma 
Espejos eléctricos abatibles 
Luces y Neblineros Led
Llantas de aleación las 5 
Air Bag Fontales y laterales 
Alzavidrios Eléctricos  
Barras de Techo 
Pisaderas laterales 
Barra Anti-Vuelco 
Cubre Pickup duro 

✅ Documentos al día Permiso de circulación pagado por el Total. 
Sin Partes ni Multas llegar y Transferir.

PAGO CON TARJETAS DE CREDITO

   Gestionamos Financiamientos                  ¡Evaluación, Fácil, Rápida y Segura!",True,True,,1
TOYOTA,HILUX,,15450000,76000,,Macul,13,2018,,,,RAAR00,"4 X 4
mecánica
Radio con pantalla
Llantas
Neumáticos nuevos
Pisaderas
Antivuelco
Cámara retroceso
Diesel
Solo 76.xxx KMS
Full Equipo",,,,1
AUDI,A3,,9990000,96413,,Vitacura,13,2014,,,,GHVC65,"El Audi A3 1.4 Sportback TFSI Aut. ofrece un equipamiento de lujo y funcionalidad. Destaca por su motor TFSI de 1.4 litros, caja de cambios automática, sistema de navegación, asientos deportivos de cuero, climatizador automático, volante multifunción, pantalla MMI, conectividad Bluetooth, sensores de estacionamiento, control de crucero, llantas de aleación, faros LED, sistema de audio de alta calidad, asistente de arranque en pendiente, y múltiples airbags para la seguridad.3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito. ",,,,1
FORD,RANGER,"XL 3,2 LTS. DOHC PICK UP DOBLE CABINA 4P. 4X2 T/M MOTOR DIÉSEL",9990000,228000,3.2,Temuco,9,2015,diesel,mecanico,4,HBCG35,"Versión XLT 3.2 MT 4x2

- Muy buen estado
- Neumaticos nuevos
- Pisaderas y barra original.
Detalles:
- A/C descargado.
- Alzavidrios trasero malo.

Visitas en Av. Alemania #1615",,True,,1
TOYOTA,HILUX,,10490000,217510,,Puerto Montt,10,2012,,,,DVPW77,"TOYOTA HILUX 4X4- AÑO:2012
✅Diésel
✅217.510 km
✅Caja de cambios sexta
✅Aire acondicionado
✅Único Dueño
✅Full equipo
✅Excelentes Condiciones

✅Valor vehículos: $10.490.000

Llamar o WhatsApp ©️
📲 +56 9 4414 5044 Orlando.
📲 +569 4997 4067 Catalina.
📲 +56 9 28604342 Felipe.

Requisitos para creditos:
🚫No tener Dicom
💸Renta mayor a $650.000
📌Edad minima de 24 años para postular.
📌Antiguedad laboral minima de 1 año.

🏣Visítanos
📍Av. Ejército 36 Puerto Montt.",,,,1
M. BENZ,GLA,,22990000,59900,,Talca,7,2019,,,,LHJL18,,,,,1
HONDA,CR-V,,7990000,167000,,Los Ángeles,8,2010,,,,CHVP75,,,,,1
AUDI,A3,"1,2 LTS. TFSI HATCHBACK 5P",750000,145000,1.2,Rancagua,6,2012,gasolina,automatico,3,XXXC01,"VEHICULO EN EXCELENTE ESTADO, 1.2 TURBO, CAJA SPORT AUTOMATICO, BT, MODELO FULL EQUIPO, AIRE ACONDICIONADO, CONTROL AL VOLANTE, 1.4 BENCINERO ECONOMICO.",,,,1
MINI,COOPER,,22990000,28000,,Las Condes,13,2019,,,,XXXO08,,,,,1
FORD,FIESTA,,6990000,72000,,Los Ángeles,8,2014,,,,GCTW64,,,,,1
HYUNDAI,ACCENT,,10490000,23100,,Cerrillos,13,2022,,,,RZCY62,,,,,1
M. BENZ,GLA,,36990000,20900,,Talca,7,2023,,,,SPXW55,,,,,1
NISSAN,NAVARA,(D23) DC 2.3 HO AT 4X4,37990000,11000,2.3,Concepción,8,2024,diesel,automatico,4,TFZL37,"CAMIONETA CON IVA, CONTACTAME +569-57656704, MI NOMBRE ES LUIS ARAVENA",True,,,1
FORD,EDGE,,10990000,137000,,Los Ángeles,8,2015,,,,GZPB13,,,,,1
HONDA,CITY,,10790000,43000,,Las Condes,13,2018,,,,JYFV59,,,,,1
M. BENZ,A250,,17490000,44900,,Talca,7,2016,,,,HKVK17,,,,,1
NISSAN,KICKS,,11190000,56000,,Las Condes,13,2017,,,,JRKS22,,,,,1
CHEVROLET,CAMARO,,44990000,39700,,Talca,7,2015,,,,HJTW82,,,,,1
CHEVROLET,ONIX,,10990000,18200,,Cerrillos,13,2023,,,,SLHL25,,,,,1
M. BENZ,GLE,,43990000,56900,,Talca,7,2019,,,,KKCP45,,,,,1
SKODA,FABIA,,13680000,70086,1.0,Las Condes,13,2021,gasolina,automatico,5,PTVL21,"SKODA Fabia 1.0 110 HP DSG Auto Style 2021

Información General:
- Segundo dueño
- Todas las mantenciones al día en la marca
- 70.086 kms
- 2 llaves originales

Motor y Rendimiento:
- Motor: 1.0 TSI de 3 cilindros turboalimentado.
- Potencia: 110 caballos de fuerza (HP) aproximadamente.
- Transmisión: Automática DSG (Direct Shift Gearbox) de 7 velocidades.
- Consumo de Combustible en Ciudad: Aprox 16-17 Km/L
- Consumo de Combustible en Carretera: Aprox 20-21 Km/L
- Consumo de Combustible combinado: Aprox 18-19 Km/L
- Aceleración y Velocidad Máxima: Acelera de 0 a 100 km/h en aproximadamente 9.6 segundos y tiene una velocidad máxima de 195 km/h.

Interior y Tecnología:
- Capacidad: 5 personas.
- Sistema de Infoentretenimiento: Sistema de infoentretenimiento con pantalla táctil de 8 pulgadas. Compatible con Apple CarPlay y Android Auto.
- Conectividad y Sonido: Además, ofrece Bluetooth, un puerto USB, y un sistema de sonido de 6 altavoces.
- Climatización: El aire acondicionado es automá",,True,True,1
MITSUBISHI,OUTLANDER,,12990000,71500,,Talca,7,2020,,,,LYYF62,,,,,1
LAND ROVER,DISCOVERY,SPORT 2.0I S,24900000,109000,2.0,Las Condes,13,2018,gasolina,automatico,4,KPFZ66,"Land Rover Discovery Port 2.0 año 2018, color blanco fuji, 109.000 kms, bencinero, automático, comandos al volante, segundo dueño, buen estado, revisiones y papeles al día, entrega inmediata",,,,1
SUBARU,LEGACY,,8980000,190000,,Maipú,13,2015,,,,GZTV22,,,,,1
RAM,VAN 700,"1,2 LTS. FURGÓN 5P. T/M DIÉSEL",8590000,29522,1.3,Cerrillos,13,2022,diesel,mecanico,2,RXTC47,,True,True,True,1
M. BENZ,A200,HATCHBACK,21500000,62700,1.3,Las Condes,13,2019,gasolina,automatico,4,LGYX40,"Mercedes-Benz A 200 HB 1.3 AUT año 2019, 62.700 kms, única dueña, color blanco, bencinero, automàtico, cuero, full equipo, mantenciones y papeles al día",True,True,,1
HYUNDAI,ELANTRA,CN7 2.0 6MT E6,13480000,65000,2.0,Maipú,13,2022,gasolina,mecanico,4,RZSZ82,"HYUNDAI NEW ELANTRA CN7 
📱+-56949448029
• Año:2022
• Kilometraje:64.000
• Combustible: Gasolina
• Transmisión: Manual 
• Aire acondicionado
• Radio con pantalla 
• Camara de retroceso 
• Sensores de retroceso 
• Llantas aro 17
• Freno de disco en las 4 ruedas 
• Airbag Delanteros
• Asientos de tela
• Conexión a USB, auxiliar, Bluetooth 
• Dos copias de llaves
• Cierre centralizado
• ⁠CarPlay 
🪪Gestionamos tu financiamiento 
💲Precio:13.480.000
💲Pie:3.400.000
💲Precio al contado:13.980.000
Vendedor : Daniel Diaz
⏱️Atención Lunes a Domingo 10 am a 18 pm / Camino lonquen 9011 maipu Autoparque (previa coordinación)",,True,,1
M. BENZ,E200,,47990000,35900,,Talca,7,2022,,,,RTFS51,,,,,1
KIA,RIO 5,,10490000,57000,,Las Condes,13,2019,,,,KWHJ74,,,,,1
PEUGEOT,2008,,12990000,59900,,Talca,7,2021,,,,PLCH92,,,,,1
AUDI,Q5,,36970000,16509,2.0,Las Condes,13,2021,gasolina,automatico,5,PPCH42,"Audi Q5 2.0 45 TFSI S Tronic Sport Auto Quattro 2021
- Único dueño
- 16.509 kms
- Mantencion al día en la marca
- Neumáticos en excelente estado 
- 2 llaves originales
- 261 caballos de fuerza
- Transmisión: Automática de 7 velocidades S tronic
- Apple CarPlay & Android Auto
- Sistema de sonido Bang & Olufsen
- Cámara de retroceso
- Sensor de estacionamiento delanteros y traseros 
- 2 memorias en asiento piloto
- Espejos eléctricos
- Mandos al volante
- Control de crucero adaptativo
- Sensor de punto ciego
- Frenado de emergencia automático 
- Climatizador Tri zona
- Apertura portalón eléctrico a distancia y con el pie 
- Gps Navy incorporado en el auto
- Calefacción de asientos piloto y copiloto
- Asistencia de conducción
- Asientos de cuero
- SunRoof Panorámico
- Sistema Isofix
- Consumo de Combustible en ciudad: 9.5 km/L
- Consumo de Combustible en Carretera: 12.35 km/L
- Motor 2.0 litros TFSI turboalimentado de cuatro cilindros
- Aceleración: 0 a 100 km/h en aproximadamente 5.9 seg",True,True,True,1
TOYOTA,4RUNNER,,21990000,90900,,Talca,7,2017,,,,JLBX28,,,,,1
PEUGEOT,PARTNER,,10690000,52046,,Cerrillos,13,2021,,,,PPSV47,,,,,1
BMW,M240I,,44990000,7000,3.0,Los Ángeles,8,2022,gasolina,automatico,2,XXXC35,,,,,1
NISSAN,VERSA,,12990000,19100,,Cerrillos,13,2023,,,,SLGZ74,,,,,1
FORD,Ranger Raptor,4x4,38990000,36000,2.0,Temuco,9,2021,diesel,automatico,4,RFVJ47,"Ranger Raptor 2.0 Diesel.
* Exenta de IVA.

Adicionales: 
- Neumaticos ALL Terrain
- Tapa pick up Retráctil 
- Barra sobre riel.

Av. Alemania #1615, Temuco",True,True,True,1
GREAT WALL,C30,,6000000,75000,,Las Condes,13,2018,,,,KJLT88,,,,,1
JEEP,GRAND CHEROKEE,,11990000,173125,,Las Condes,13,2012,,,,DXTC85,,,,,1
FIAT,500,,9990000,10600,,Cerrillos,13,2022,,,,RJPF44,,,,,1
TOYOTA,HILUX,,15450000,76000,,Macul,13,2018,,,,RAAR00,"4 X 4
mecánica
Radio con pantalla
Llantas
Neumáticos nuevos
Pisaderas
Antivuelco
Cámara retroceso
Diesel
Solo 76.xxx KMS
Full Equipo",,,,1
AUDI,A3,,9990000,96413,,Vitacura,13,2014,,,,GHVC65,"El Audi A3 1.4 Sportback TFSI Aut. ofrece un equipamiento de lujo y funcionalidad. Destaca por su motor TFSI de 1.4 litros, caja de cambios automática, sistema de navegación, asientos deportivos de cuero, climatizador automático, volante multifunción, pantalla MMI, conectividad Bluetooth, sensores de estacionamiento, control de crucero, llantas de aleación, faros LED, sistema de audio de alta calidad, asistente de arranque en pendiente, y múltiples airbags para la seguridad.3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito. ",,,,1
FORD,RANGER,"XL 3,2 LTS. DOHC PICK UP DOBLE CABINA 4P. 4X2 T/M MOTOR DIÉSEL",9990000,228000,3.2,Temuco,9,2015,diesel,mecanico,4,HBCG35,"Versión XLT 3.2 MT 4x2

- Muy buen estado
- Neumaticos nuevos
- Pisaderas y barra original.
Detalles:
- A/C descargado.
- Alzavidrios trasero malo.

Visitas en Av. Alemania #1615",,True,,1
TOYOTA,COROLLA,,8980000,78000,,Vitacura,13,2019,,,,LCXB42," El Toyota Corolla 1.8 Otto Aut. UNIDAD DE REMATE, ofrece un equipamiento elegante y funcional. Cuenta con una transmisión automática que brinda comodidad en la conducción, sistema de infoentretenimiento con pantalla táctil, control de crucero, aire acondicionado, asientos cómodos y ajustables, múltiples airbags para seguridad, sistema de frenado antibloqueo (ABS), cámara de visión trasera, llantas de aleación, faros LED, y un diseño aerodinámico que combina estilo y eficiencia.3 Meses de Garantia. Credito desde 20% de pie. Pago contado. Tarjetas debito, credito.",,,,1
MG,HS,,12990000,20100,,Cerrillos,13,2023,,,,STLC46,,,,,1
BMW,M240I,,44990000,7000,3.0,Los Ángeles,8,2022,gasolina,automatico,2,XXXC35,,,,,1
CITROEN,C3,,14990000,650000,,Las Condes,13,2020,,,,XXXO05,,,,,1
FORD,Ranger Raptor,4x4,38990000,36000,2.0,Temuco,9,2021,diesel,automatico,4,RFVJ47,"Ranger Raptor 2.0 Diesel.
* Exenta de IVA.

Adicionales: 
- Neumaticos ALL Terrain
- Tapa pick up Retráctil 
- Barra sobre riel.

Av. Alemania #1615, Temuco",True,True,True,1
MAZDA,MAZDA3,,4980000,103912,,Las Condes,13,2011,,,,CYSP47,"COLOR: NEGRO

MAZDA 3 SPORT V 1.6 FULL EQUIPO

DOBLE AIRBAG, ABS, ISOFIX, AIRE ACONDICIONADO, LLANTAS, COMANDOS AL VOLANTE, ESPEJOS ELÉCTRICOS Y ABATIBLES, CIERRE CENTRALIZADO, RADIO CD MP3, AUXILIAR,...ETC. SE RECIBE AUTO EN PARTE DE PAGO, CRÉDITO DIRECTO E INMEDIATO.",,,,1
FORD,F150,,15990000,65000,,Las Condes,13,2015,,,,XXX002,,,,,1
